Scope1,Absolute Time
1.000000,3568277513.661390
1.000000,3568277513.671389
1.000000,3568277513.681388
1.000000,3568277513.691387
1.000000,3568277513.701391
1.000000,3568277513.711390
1.000000,3568277513.721392
1.000000,3568277513.731391
1.000000,3568277513.741392
1.000000,3568277513.751391
1.000000,3568277513.761392
1.000000,3568277513.771392
1.000000,3568277513.781394
1.000000,3568277513.791389
1.000000,3568277513.801392
1.000000,3568277513.811393
1.000000,3568277513.821394
1.000000,3568277513.831393
1.000000,3568277513.841395
1.000000,3568277513.851394
0.309275,3568277513.861394
0.309275,3568277513.871396
0.000000,3568277513.881396
-0.340220,3568277513.891393
-0.577349,3568277513.901395
-0.577349,3568277513.911396
-0.577349,3568277513.921397
-1.000000,3568277513.931396
-1.000000,3568277513.941397
-1.000000,3568277513.951396
-1.000000,3568277513.961398
-1.000000,3568277513.971398
-1.000000,3568277513.981398
-1.000000,3568277513.991395
-1.000000,3568277514.001399
-1.000000,3568277514.011398
-1.000000,3568277514.021400
-1.000000,3568277514.031398
-1.000000,3568277514.041399
-1.000000,3568277514.051399
-1.000000,3568277514.061400
-1.000000,3568277514.071401
-1.000000,3568277514.081401
-1.000000,3568277514.091398
-1.000000,3568277514.101402
-1.000000,3568277514.111401
-1.000000,3568277514.121402
-1.000000,3568277514.131401
-1.000000,3568277514.141403
-1.000000,3568277514.151402
-1.000000,3568277514.161403
-1.000000,3568277514.171403
-1.000000,3568277514.181404
-1.000000,3568277514.191401
-1.000000,3568277514.201405
-1.000000,3568277514.211405
-1.000000,3568277514.221405
-1.000000,3568277514.231405
-1.000000,3568277514.241406
-1.000000,3568277514.251405
-1.000000,3568277514.261407
-1.000000,3568277514.271407
-1.000000,3568277514.281406
-1.000000,3568277514.291403
-1.000000,3568277514.301408
-0.989746,3568277514.311407
-0.989746,3568277514.321410
-0.556719,3568277514.331408
-0.371166,3568277514.341407
-0.371166,3568277514.351408
-0.195898,3568277514.361409
-0.195898,3568277514.371409
0.000000,3568277514.381411
0.000000,3568277514.391406
0.000000,3568277514.401410
0.134007,3568277514.411410
0.381451,3568277514.421411
0.381451,3568277514.431409
0.577319,3568277514.441412
0.773217,3568277514.451411
1.000000,3568277514.461411
1.000000,3568277514.471412
1.000000,3568277514.481414
1.000000,3568277514.491409
1.000000,3568277514.501413
1.000000,3568277514.511413
1.000000,3568277514.521414
1.000000,3568277514.531414
1.000000,3568277514.541414
1.000000,3568277514.551413
1.000000,3568277514.561415
1.000000,3568277514.571414
1.000000,3568277514.581415
1.000000,3568277514.591413
1.000000,3568277514.601415
1.000000,3568277514.611416
1.000000,3568277514.621417
1.000000,3568277514.631416
1.000000,3568277514.641417
1.000000,3568277514.651417
